Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Rented Bike Count_power,Hour_power,Temperature(C)_power,Humidity(%)_power,Wind speed (m/s)_power,Visibility (10m)_power,Dew point temperature(C)_power,Solar Radiation (MJ/m2)_power,Rainfall(mm)_power,Snowfall (cm)_power,Rented Bike Count_standard,Hour_standard,Temperature(C)_standard,Humidity(%)_standard,Wind speed (m/s)_standard,Visibility (10m)_standard,Dew point temperature(C)_standard,Solar Radiation (MJ/m2)_standard,Rainfall(mm)_standard,Snowfall (cm)_standard,Year,Month,Day,Seasons_Spring,Seasons_Summer,Seasons_Winter
2017-12-01,254,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,Winter,0,1,-0.5300044019071896,-1.9029667229920768,-1.524521408596575,-1.0388284993705323,0.6181030649183701,0.9782138263713812,-1.556854475999721,-0.8457613047167766,-0.2528587957378049,-0.23078529814731363,-0.6986504580732504,-1.661324772583615,-1.5139572362780525,-1.042482884587357,0.4584757759647644,0.925871347770635,-1.659604672723206,-0.6551317164805702,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
2017-12-01,204,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,0,1,-0.6764973823515945,-1.6548714178068267,-1.5508702459188828,-0.9864817532917576,-0.9236514213348751,0.9782138263713812,-1.556854475999721,-0.8457613047167766,-0.2528587957378049,-0.23078529814731363,-0.7761745672777505,-1.516861748880692,-1.5390741483279362,-0.9933699887973514,-0.8925614955119692,0.925871347770635,-1.659604672723206,-0.6551317164805702,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
2017-12-01,173,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Winter,0,1,-0.7794241535247602,-1.4402626230863573,-1.5948186889090155,-0.9343627961520405,-0.6403265394818515,0.9782138263713812,-1.5630693936440823,-0.8457613047167766,-0.2528587957378049,-0.23078529814731363,-0.8242395149845405,-1.372398725177769,-1.580935668411076,-0.9442570930073456,-0.699556171015293,0.925871347770635,-1.6672618610968273,-0.6551317164805702,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
2017-12-01,107,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,Winter,0,1,-1.0473791491585223,-1.2448659140211593,-1.6124093011391392,-0.88246497752615,-0.778203190308354,0.9782138263713812,-1.556854475999721,-0.8457613047167766,-0.2528587957378049,-0.23078529814731363,-0.9265713391344805,-1.227935701474846,-1.597680276444332,-0.8951441972173398,-0.796058833263631,0.925871347770635,-1.659604672723206,-0.6551317164805702,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
2017-12-01,78,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,Winter,0,1,-1.2003149086827163,-1.062615751923865,-1.5948186889090155,-1.0914100655746948,0.7001838425175048,0.9782138263713812,-1.618914934286817,-0.8457613047167766,-0.2528587957378049,-0.23078529814731363,-0.9715353224730905,-1.0834726777719228,-1.580935668411076,-1.0915957803773628,0.5549784382131022,0.925871347770635,-1.73617655645942,-0.6551317164805702,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
2017-12-01,100,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,0,1,-1.0815759892716656,-0.8902006496764786,-1.6300060671896854,-1.0388284993705323,-0.04175238959430207,0.9782138263713812,-1.6251103349202034,-0.8457613047167766,-0.2528587957378049,-0.23078529814731363,-0.9374247144231105,-0.9390096540689998,-1.614424884477588,-1.042482884587357,-0.21704285977360246,0.925871347770635,-1.7438337448330412,-0.6551317164805702,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
2017-12-01,181,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,Winter,0,1,-0.7517890080072498,-0.7255567218594322,-1.6476088227666705,-1.1442338965640537,-0.2651852509349836,0.9782138263713812,-1.6746062120293403,-0.8457613047167766,-0.2528587957378049,-0.23078529814731363,-0.8118356575118204,-0.7945466303660768,-1.6311694925108438,-1.1407086761673686,-0.4100481842702786,0.925871347770635,-1.8050912518220124,-0.6551317164805702,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
2017-12-01,460,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,Winter,0,1,-0.07139385884786745,-0.5672855260770301,-1.7180767419723024,-0.9864817532917576,-0.778203190308354,0.9782138263713812,-1.6622433261088088,-0.8457613047167766,-0.2528587957378049,-0.23078529814731363,-0.37925112815071027,-0.6500836066631537,-1.6981479246438673,-0.9933699887973514,-0.796058833263631,0.925871347770635,-1.7897768750747698,-0.6551317164805702,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
2017-12-01,930,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,0,1,0.6117068085446922,-0.41438295112345,-1.7357072599328258,-1.0388284993705323,-0.509277032044582,0.9782138263713812,-1.6931369495536737,-0.7927405595877064,-0.2528587957378049,-0.23078529814731363,0.3494754983715901,-0.5056205829602307,-1.7148925326771234,-1.042482884587357,-0.6030535087669547,0.925871347770635,-1.8280628169428768,-0.6436202182560113,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
2017-12-01,490,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,Winter,0,1,-0.016738043965120273,-0.26609655569355023,-1.638806706211858,-1.5766094279887466,-1.414994595114726,0.8310730763510278,-1.853087518650388,0.06536559456227195,-0.2528587957378049,-0.23078529814731363,-0.3327366626280102,-0.36115755925730764,-1.6227971884942156,-1.5336118424874146,-1.1820694822569835,0.8075016906887132,-2.0271497146570328,-0.3903672573157166,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
2017-12-01,339,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,Winter,0,1,-0.3190248330904349,-0.12184366116530035,-1.3755407907070563,-1.7439653144133993,-0.38441467082800534,0.9699793769659608,-1.779404846413069,0.8520375082531053,-0.2528587957378049,-0.23078529814731363,-0.5668594724256003,-0.21669453555438456,-1.3716280679953772,-1.6809505298574319,-0.5065508465186168,0.9192952557105282,-1.935263454173576,0.09311566811575528,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
2017-12-01,360,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,Winter,0,1,-0.27233807743159955,0.01883886783013442,-1.1146745601462038,-1.9147806885836602,-0.2651852509349836,0.8473085146197781,-1.71781961561234,1.1233415095103687,-0.2528587957378049,-0.23078529814731363,-0.5342993465597103,-0.07223151185146152,-1.1204589474965387,-1.8282892172274492,-0.4100481842702786,0.8206538748089267,-1.858691570437362,0.4269491166279619,-0.13179988368373619,-0.17189109256898674,2017,12,1,0.0,0.0,1.0
